user_id,entropy_rate
1028,1.38833
1029,0.87
1030,0.663524
1033,2.02568
1034,2.20704
1035,0.661856
1036,0.474956
1038,0.162875
1041,0.47216
1044,2.17222
1049,0.678038
1052,0.872718
1068,2.64539
1069,0.779676
1070,0.467187
1074,1.78574
1077,0.533431
1078,0.818008
1079,0.195642
1286,0.342088
1288,0.0997149
1289,0.261723
1290,0.272713
1291,0.570234
1292,0.764613
1295,0.96246
1296,3
1297,0.367817
1298,0.246784
1299,0.317245
1300,0.404439
1301,0.211003
1302,0.525032
1304,0.521337
1305,2.0932
1307,2.26216
1308,1.07227
1309,0.820595
1310,0.552681
1311,0.664002
1312,0.126529
1313,1.11752
1314,1.16862
1315,0.196478
1316,0.548115
1323,0.597149
1324,0.490095
1325,0.875468
1326,0.681192
1327,2.38998
1328,1.56948
1329,1.12011
1331,0.719719
1332,0.198522
1333,0.750222
1334,0.952328
1335,0.649411
1338,0.727093
1339,1.22726
1341,0.385987
1344,0.774813
1345,1.13925
1346,0.313579
1348,0.901421
1349,0.487854
1351,0.281879
1359,1.53793
1360,1.16955
1361,0.848607
1362,0.219093
1364,0.493774
264,0.63536
506,0.838453
513,0.941773
514,0.451543
527,1.38943
528,0.211169
532,2.89026
534,0.486291
551,0.328376
555,0.316524
559,0.284002
565,0.473593
767,0.0983835
768,2.01279
770,0.933916
777,0.236625
784,0.319978
786,0.366162
793,0.403482
795,1.30862
907,0.866382
920,0.402618
924,1.38193
927,1.18626
930,0.956712
933,0.362355
939,0.728545
940,0.5051
942,0.213784
943,0.125352
956,0.670581
964,0.301418
967,1.01401
972,1.88022
975,0.492001
978,0.423286
