user_id,entropy_rate
1990,0.213966
2020,0.893169
2033,1.03577
2038,1.1729
2074,0.177353
2090,1.55238
2121,0.156909
2129,1.30621
2131,0.310842
2132,0.361221
2136,1.13
2138,0.422335
2141,0.289609
2144,0.419217
2197,0.635999
2208,0.221848
2223,0.382433
2235,1.45946
2236,0.355632
2239,0.235445
2243,1.17646
2246,0.685374
2248,0.703711
2283,0.90038
2305,0.146235
2310,0.386143
2311,0.762217
2454,0.370096
2494,0.427602
2506,0.520591
2510,1.81669
2547,0.460477
2577,0.304302
2584,0.555566
2597,0.324249
2598,0.235926
2626,0.652224
2644,0.56985
2655,0.130606
2657,0.399124
2658,0.583698
2660,0.248226
2680,0.396716
2701,0.518084
2712,0.396938
2715,0.794675
2719,0.564399
2720,0.203125
2727,0.316394
2744,0.399707
2758,0.429803
2768,0.222634
2787,0.272405
2789,0.543408
2791,0.358856
2797,0.681884
3193,0.297357
